"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2022,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
"Postal service mail sorters, processors, and processing machine operators",59,56.6,43.2,38.5,14.6,8.2
"Production, planning, and expediting clerks",212,48.9,76.3,11.3,7.8,11.3
"Shipping, receiving, and inventory clerks",645,37.1,75.9,13.3,7.5,28.8
"Weighers, measurers, checkers, and samplers, recordkeeping",59,42.5,80.7,12.8,3.3,23.8
Executive secretaries and executive administrative assistants,244,94.8,79.4,10.5,5.9,15.7
Legal secretaries and administrative assistants,46,–,–,–,–,–
Medical secretaries and administrative assistants,74,97.3,65.3,21.8,4.5,12.5
"Secretaries and administrative assistants, except legal, medical, and executive","1,915",92.5,83.3,9.5,3.5,14.6
Data entry keyers,237,69.8,72.6,15.8,6.1,11.7
Word processors and typists,35,–,–,–,–,–
Desktop publishers,1,–,–,–,–,–
Insurance claims and policy processing clerks,314,84.7,67.5,25.8,3.5,17.6
"Mail clerks and mail machine operators, except postal service",53,41.5,66.4,23.2,8.8,23.3
"Office clerks, general","1,256",84.3,76.5,14.0,5.6,20.0
"Office machine operators, except computer",29,–,–,–,–,–
Proofreaders and copy markers,7,–,–,–,–,–
Statistical assistants,17,–,–,–,–,–
"Office and administrative support workers, all other",582,72.4,76.7,14.2,4.6,17.9
,,,,,,
"Natural resources, construction, and maintenance occupations","14,260",5.7,86.7,7.4,1.9,34.2
"Farming, fishing, and forestry occupations",980,26.2,89.2,4.6,1.8,44.7
"First-line supervisors of farming, fishing, and forestry workers",52,16.9,92.5,5.1,1.1,29.2
Agricultural inspectors,14,–,–,–,–,–
Animal breeders,9,–,–,–,–,–
"Graders and sorters, agricultural products",47,–,–,–,–,–
Miscellaneous agricultural workers,753,26.5,89.4,4.7,1.5,49.3
Fishing and hunting workers,32,–,–,–,–,–
Forest and conservation workers,15,–,–,–,–,–
Logging workers,57,6.5,89.8,4.2,0.0,6.3
Construction and extraction occupations,"8,427",4.2,87.1,7.1,1.6,40.3
First-line supervisors of construction trades and extraction workers,661,4.3,91.1,4.1,1.6,25.6
Boilermakers,15,–,–,–,–,–
"Brickmasons, blockmasons, and stonemasons",119,3.0,87.0,8.7,1.3,46.9
Carpenters,"1,282",3.5,88.6,5.5,1.9,41.8
"Carpet, floor, and tile installers and finishers",147,7.5,83.9,7.5,3.2,55.7
"Cement masons, concrete finishers, and terrazzo workers",70,1.0,87.6,7.6,0.0,52.5
Construction laborers,"2,227",4.9,84.9,8.4,1.9,50.7
Construction equipment operators,369,1.7,88.9,5.4,0.7,18.9
"Drywall installers, ceiling tile installers, and tapers",161,2.8,92.8,0.8,2.2,70.3
Electricians,918,2.2,88.5,7.3,2.0,24.9
Glaziers,32,–,–,–,–,–
Insulation workers,52,5.9,82.5,15.8,0.0,44.0
Painters and paperhangers,644,10.5,89.8,6.8,0.7,59.1
Pipelayers,52,2.4,97.0,2.3,0.0,60.2
"Plumbers, pipefitters, and steamfitters",610,1.1,83.3,8.9,2.2,28.2
