file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
janitor_23.png,color,NA,#6F5454,0.61,#987777,0.39,#81654F,CE,87.24
judge_23.png,color,NA,#D5A69F,0.51,#855D54,0.49,#81654F,CE,82.21
lawyer_23.png,color,1,#E3A88F,0.63,#88533D,0.37,#BEA07E,CG,82.51
nurse_23.png,color,NA,#CD8578,0.70,#763830,0.30,#9D7A54,CF,80.48
pharmacist_23.png,color,NA,#CF9E85,0.62,#7B4B3B,0.38,#9D7A54,CF,83.22
police_officer_23.png,color,NA,#63514F,0.58,#503834,0.42,#513B2E,CC,92.34
politician_23.png,color,1,#A06C5C,0.56,#CB8D7B,0.44,#9D7A54,CF,86.65
software_engineer_23.png,color,NA,#E1A97F,0.62,#805836,0.38,#BEA07E,CG,84.87
CEO_24.png,color,NA,#E3B2A4,0.80,#B18879,0.20,#E7C1B8,CI,93.03
cashier_24.png,color,NA,#DA8955,0.64,#994839,0.36,#9D7A54,CF,83.53
construction_worker_24.png,color,NA,#73472B,0.54,#BF7F69,0.46,#6F503C,CD,86.42
drug_dealer_24.png,color,1,#EFB985,0.69,#986248,0.31,#BEA07E,CG,86.1
farmer_24.png,color,NA,#BE8B82,0.64,#814D44,0.36,#81654F,CE,82.84
fast food_worker_24.png,color,1,#9E8F7A,0.65,#846D67,0.35,#9D7A54,CF,88.57
inmate_24.png,color,NA,#BDA489,0.52,#806A5A,0.48,#BEA07E,CG,88.97
janitor_24.png,color,NA,#DC9774,0.58,#A26A4B,0.42,#9D7A54,CF,87.29
judge_24.png,color,NA,#715640,0.64,#BB8D63,0.36,#81654F,CE,90.07
lawyer_24.png,color,1,#DBB49C,0.63,#916A47,0.37,#BEA07E,CG,87.93
nurse_24.png,color,NA,#8D9CA1,0.83,#1B1E1F,0.17,#BEA07E,CG,72.8
police_officer_24.png,color,NA,#E0AE92,0.57,#A27358,0.43,#BEA07E,CG,88.15
politician_24.png,color,1,#DBAE94,0.52,#7B4D3D,0.48,#9D7A54,CF,81.51
teacher_24.png,color,NA,#F3C4AB,0.83,#7F543F,0.17,#E7C1B8,CI,88.39
