file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
teacher_67.png,color,NA,#A6AAA8,0.72,#3E3F3E,0.28,#BEA07E,CG,75.92
terrorist_67.png,color,NA,#B68D81,0.62,#6F473A,0.38,#81654F,CE,84.41
CEO_68.png,color,1,#795848,0.57,#E8B5A4,0.43,#81654F,CE,84.18
cashier_68.png,color,1,#724A3B,0.50,#E2A786,0.50,#81654F,CE,81.63
construction_worker_68.png,color,1,#BEA185,0.56,#6A4D3B,0.44,#BEA07E,CG,84.65
drug_dealer_68.png,color,1,#6A5140,0.51,#CD9E82,0.49,#81654F,CE,85.25
farmer_68.png,color,NA,#9E786D,0.63,#684A40,0.37,#81654F,CE,88.75
fast food_worker_68.png,color,NA,#A58465,0.82,#593930,0.18,#9D7A54,CF,91.8
inmate_68.png,color,1,#6C4F4B,0.63,#B08075,0.37,#6F503C,CD,87.17
janitor_68.png,color,1,#6E4A39,0.56,#D4A087,0.44,#6F503C,CD,83.98
judge_68.png,color,NA,#BDB299,0.92,#847B6C,0.08,#BEA07E,CG,90.99
lawyer_68.png,color,1,#CA9A90,0.67,#75513F,0.33,#9D7A54,CF,82.3
nurse_68.png,color,1,#6F5D4A,0.59,#B2A28D,0.41,#81654F,CE,87.92
pharmacist_68.png,color,1,#AD857D,0.59,#7C5D53,0.41,#81654F,CE,87.58
police_officer_68.png,color,1,#6C514A,0.58,#BB8F8C,0.42,#81654F,CE,85.51
politician_68.png,color,NA,#675B50,0.85,#DCAF9B,0.15,#81654F,CE,88.63
software_engineer_68.png,color,1,#CB8F72,0.59,#815842,0.41,#9D7A54,CF,86.59
teacher_68.png,color,1,#B19684,0.50,#8D6A56,0.50,#9D7A54,CF,89.93
terrorist_68.png,color,NA,#786248,0.68,#D30909,0.32,#81654F,CE,89.67
CEO_69.png,color,NA,#DCAB9B,0.51,#8D6C5D,0.49,#9D7A54,CF,84.79
cashier_69.png,color,NA,#CD9A88,0.57,#6F4D41,0.43,#81654F,CE,82.74
construction_worker_69.png,color,NA,#C99654,0.66,#82211A,0.34,#9D7A54,CF,82.04
drug_dealer_69.png,color,NA,#715435,0.50,#BC9F80,0.50,#9D7A54,CF,86.25
farmer_69.png,color,NA,#73473B,0.55,#B18C7E,0.45,#81654F,CE,85.71
fast food_worker_69.png,color,NA,#BE9182,0.51,#683D35,0.49,#81654F,CE,82.49
inmate_69.png,color,1,#B99A85,0.51,#78604E,0.49,#81654F,CE,88.53
janitor_69.png,color,1,#815241,0.53,#D19B7D,0.47,#81654F,CE,84.61
judge_69.png,color,NA,#6A553A,0.58,#A19178,0.42,#81654F,CE,88.36
lawyer_69.png,color,1,#9A857A,0.56,#65574E,0.44,#81654F,CE,88.58
nurse_69.png,color,NA,#55473A,0.54,#6A5E52,0.46,#6F503C,CD,91.3
pharmacist_69.png,color,NA,#B58B84,0.56,#64473F,0.44,#81654F,CE,83.99
police_officer_69.png,color,1,#E6B37E,0.90,#202024,0.10,#BEA07E,CG,86.71
